company_id,company_name,sector,assets,npv_baseline,npv_shock,npv_difference,npv_change,pd_baseline,pd_shock,pd_change,mean_abs_alignment_gap_pp,worst_alignment_gap_pp,alignment_context,stress_priority_score
VN_ABCD_005,Nghi Son Power LLC,Power,5,3494861852.563711,68460228.9708139,-3426401623.5928974,-0.9804111773629639,0.1609956376514612,0.3797854727551244,0.21878983510366323,25.821596244131456,38.732394366197184,Borrower-level PACTA market-share gap,100
VN_ABCD_002,Vinacomin Power JSC,Power,5,5527881850.442236,108428995.4243183,-5419452855.017918,-0.9803850736397987,0.2386626704647248,0.45362406779707987,0.21496139733235506,25.821596244131456,38.732394366197184,Borrower-level PACTA market-share gap,99.66185204928985
VN_ABCD_003,International Power Mong Duong,Power,5,3418886594.8992825,66971963.1236223,-3351914631.7756605,-0.980411177362964,0.18656093989829248,0.3964260526782637,0.20986511277997122,25.821596244131456,38.732394366197184,Borrower-level PACTA market-share gap,99.21584168877004
VN_ABCD_001,EVN (Electricity of Vietnam),Power,15,52463196414.55416,19246073311.299484,-33217123103.254677,-0.6331509586411646,0.14780686568078882,0.28581152074560023,0.1380046550648114,11.413748603275387,-22.13528445572645,Borrower-level PACTA market-share gap,59.387485507147574
VN_ABCD_004,PVN Power Corporation,Power,10,27214177370.868862,16154737304.158152,-11059440066.710712,-0.40638524236816276,0.1147452302833486,0.19715594619736232,0.08241071591401372,11.937059142702118,20.486574474637422,Borrower-level PACTA market-share gap,39.51076157156529
VN_ABCD_006,Dung Quat LNG Power Consortium,Power,5,2231269180.5860796,1394801053.117324,-836468127.4687552,-0.3748844535418372,0.29164720857361237,0.35904950889491216,0.06740230032129979,15.089163237311384,22.633744855967073,Borrower-level PACTA market-share gap,38.24678718315081
VN_ABCD_007,Vietnam Hydropower JSC,Power,5,5897419445.445698,5902551866.135175,5132420.689477444,8.702824577690455e-4,0.04673327910823499,0.04664938941593533,-8.38896922996657e-5,21.935483870967744,21.935483870967744,Borrower-level PACTA market-share gap,11.625087114367052
VN_ABCD_011,Xuan Thien Group,Power,5,1232342067.1141768,1298082142.5175655,65740075.40338874,0.05334563929748404,0.3288971722960897,0.32092150570146327,-0.007975666594626452,13.548387096774196,-13.548387096774196,Borrower-level PACTA market-share gap,1.5571615989910572
VN_ABCD_008,Trung Nam Group,Power,5,2860023714.409009,3012586963.0982914,152563248.6892823,0.05334335093819589,0.3111376249472725,0.30296090028326905,-0.008176724664003432,13.548387096774196,-13.548387096774196,Borrower-level PACTA market-share gap,1.5396508657766341
VN_ABCD_010,Thanh Thanh Cong Group,Power,5,1023057421.7533278,1077632984.0853078,54575562.33197996,0.05334555145345382,0.28315742656674203,0.27464395307874245,-0.008513473487999579,13.548387096774196,-13.548387096774196,Borrower-level PACTA market-share gap,1.5099138927672249
VN_ABCD_013,Gia Lai Electricity JSC,Power,5,619496522.6610892,652544111.8384196,33047589.17733039,0.053345883259154125,0.2583515113301599,0.24963828521648612,-0.008713226113673755,13.548387096774196,-13.548387096774196,Borrower-level PACTA market-share gap,1.4923404382536085
VN_ABCD_009,BIM Group,Power,5,780073580.5874542,821686756.489113,41613175.90165879,0.05334519324487432,0.23796998983160955,0.2291760024716576,-0.00879398735995196,13.548387096774189,-13.548387096774192,Borrower-level PACTA market-share gap,1.485291187444756
VN_ABCD_012,T&T Group,Power,5,1048163128.7091209,1104077862.215606,55914733.506485105,0.05334544974439964,0.23228760072132237,0.22345191184900423,-0.008835688872318143,13.548387096774189,-13.548387096774192,Borrower-level PACTA market-share gap,1.4816097734221625
