run_label,parameter_name,parameter_value,run_path
base,base,base,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/base/20260710_021946__3ea6de92-e638-4245-a4ce-c100c882e08b
shock_year_2027,shock_year,2027,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/shock_year_2027/20260710_021947__ca702545-2c76-47fc-a98f-ba5c9fc325a1
shock_year_2029,shock_year,2029,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/shock_year_2029/20260710_021947__6fc556ca-9bf5-4421-a2f0-bbe0fc0562f6
discount_rate_0.06,discount_rate,0.06,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/discount_rate_0.06/20260710_021948__55880565-4e17-4a1a-b90c-0018a0948a5e
discount_rate_0.10,discount_rate,0.10,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/discount_rate_0.10/20260710_021948__e51fe7b1-42b6-44d2-a076-7a32d1e862ec
risk_free_rate_0.02,risk_free_rate,0.02,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/risk_free_rate_0.02/20260710_021949__ca207075-bb66-4167-bff2-5780eb5cd64b
risk_free_rate_0.04,risk_free_rate,0.04,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/risk_free_rate_0.04/20260710_021949__16bd394d-e967-4141-b0a7-a9ee2cdd2092
market_passthrough_0.15,market_passthrough,0.15,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/market_passthrough_0.15/20260710_021950__992d6348-caac-4b28-a4d4-b2cc1918798c
market_passthrough_0.35,market_passthrough,0.35,/home/runner/work/pacta-trisk/pacta-trisk/synthesis_output/trisk/cement_demo/runs/market_passthrough_0.35/20260710_021950__4b9cb4bd-c07c-4f0b-8b8c-23b786c6912c
