company_id,company_name,sector,assets,npv_baseline,npv_shock,npv_difference,npv_change,pd_baseline,pd_shock,pd_change,mean_abs_alignment_gap_pp,worst_alignment_gap_pp,alignment_context,stress_priority_score,stress_severity_score
VN_ABCD_005,Nghi Son Power LLC,Power,5,3523672831.601805,68466783.84106883,-3455206047.7607365,-0.9805694832882811,0.1609956376514614,0.38019647681736257,0.21920083916590116,37.06373409727998,55.59560114591997,Borrower-level PACTA market-share gap,99.99999999999997,1
VN_ABCD_002,Vinacomin Power JSC,Power,5,5574408951.173719,108439718.33707228,-5465969232.836647,-0.9805468670693348,0.2386626704647248,0.4540145501895094,0.21535187972478462,37.06373409727998,55.59560114591997,Borrower-level PACTA market-share gap,99.66089740326082,1
VN_ABCD_003,International Power Mong Duong,Power,5,3447071248.3061137,66978375.49669777,-3380092872.8094163,-0.9805694832882812,0.1865609398982927,0.3968059446497867,0.210245004751494,37.06373409727998,55.59560114591997,Borrower-level PACTA market-share gap,99.21453224661798,1
VN_ABCD_001,EVN (Electricity of Vietnam),Power,15,53000479947.369736,19423381979.305927,-33577097968.063805,-0.6335244133903384,0.14780686568078882,0.28616771946426134,0.13836085378347251,16.788911275713538,33.577822551427076,Borrower-level PACTA market-share gap,61.78450784022313,1
VN_ABCD_004,PVN Power Corporation,Power,10,27960549021.13898,16845985995.7246,-11114563025.414383,-0.3975087548177775,0.11474523028334847,0.19509449872201343,0.08034926843866495,10.488556472316297,14.963316416040772,Borrower-level PACTA market-share gap,38.34673504700564,0.8312572956814812
VN_ABCD_006,Dung Quat LNG Power Consortium,Power,5,2292380566.2730136,1452466787.3438158,-839913778.9291978,-0.3663936919055033,0.29164720857361237,0.35752648124718656,0.06587927267357419,12.842352438894226,19.263528658341333,Borrower-level PACTA market-share gap,35.8567586335763,0.8053280765879194
VN_ABCD_007,Vietnam Hydropower JSC,Power,5,5927151578.442876,5899911609.340895,-27239969.101980686,-0.00459579424306488,0.04673327910823499,0.04717905327529315,4.45774167058155e-4,19.98001998001998,19.980019980019982,Borrower-level PACTA market-share gap,8.308738839472676,0.022978971215324398
VN_ABCD_011,Xuan Thien Group,Power,5,1234097222.8113573,1299933561.8439713,65836339.03261396,0.05334777342957981,0.3288971722960897,0.32091992966666794,-0.007977242629421788,17.58241758241758,-17.582417582417584,Borrower-level PACTA market-share gap,2.744813836158589,0
VN_ABCD_008,Trung Nam Group,Power,5,2863725565.688999,3016492001.7895374,152766436.10053825,0.05334534772845224,0.3111376249472725,0.3029594211576825,-0.00817820378959,17.582417582417584,17.582417582417587,Borrower-level PACTA market-share gap,2.7273528495637005,0
VN_ABCD_010,Thanh Thanh Cong Group,Power,5,1024509215.0500584,1079164404.5557008,54655189.505642384,0.05334767975022254,0.28315742656674203,0.27464228146668335,-0.008515145100058685,17.582417582417584,17.582417582417587,Borrower-level PACTA market-share gap,2.6976436648712196,0
VN_ABCD_013,Gia Lai Electricity JSC,Power,5,620386865.744301,653483284.0258362,33096418.281535283,0.0533480318636796,0.2583515113301599,0.2496365575901942,-0.00871495373996567,17.58241758241758,-17.582417582417584,Borrower-level PACTA market-share gap,2.6800956913747696,0
VN_ABCD_009,BIM Group,Power,5,781167219.0855885,822840381.770191,41673162.68460256,0.053347300893378434,0.23796998983160955,0.2291743014466877,-0.00879568838492184,17.582417582417584,17.582417582417587,Borrower-level PACTA market-share gap,2.673064382093741,0
VN_ABCD_012,T&T Group,Power,5,1049639708.5256865,1105635437.7662516,55995729.24056506,0.05334757134828303,0.23228760072132237,0.22345019450170325,-0.00883740621961912,17.582417582417584,17.582417582417587,Borrower-level PACTA market-share gap,2.6693872258682547,0
