company_id,company_name,sector,pd_baseline,pd_shock,pd_change
VN_ABCD_001,EVN (Electricity of Vietnam),Power,0.1478068656807887,0.28629739770962925,0.13849053202884054
VN_ABCD_002,Vinacomin Power JSC,Power,0.2386626704647248,0.45362406779707987,0.21496139733235506
VN_ABCD_003,International Power Mong Duong,Power,0.18656093989829248,0.3964260526782637,0.20986511277997122
VN_ABCD_004,PVN Power Corporation,Power,0.11474523028334847,0.2024374591217688,0.08769222883842033
VN_ABCD_005,Nghi Son Power LLC,Power,0.1609956376514612,0.3797854727551244,0.21878983510366323
VN_ABCD_006,Dung Quat LNG Power Consortium,Power,0.29164720857361237,0.3702963627140371,0.07864915414042473
VN_ABCD_007,Vietnam Hydropower JSC,Power,0.04673327910823499,0.04665823703982175,-7.504206841324468e-5
VN_ABCD_008,Trung Nam Group,Power,0.3111376249472725,0.3029606048626978,-0.00817702008457466
VN_ABCD_009,BIM Group,Power,0.23796998983160955,0.22917566702728953,-0.00879432280432002
VN_ABCD_010,Thanh Thanh Cong Group,Power,0.28315742656674203,0.27464362401247433,-0.008513802554267702
VN_ABCD_011,Xuan Thien Group,Power,0.3288971722960897,0.32092119570396593,-0.00797597659212379
VN_ABCD_012,T&T Group,Power,0.23228760072132237,0.2234515734170247,-0.008836027304297667
VN_ABCD_013,Gia Lai Electricity JSC,Power,0.2583515113301599,0.2496379457428027,-0.00871356558735717
